Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 
[01:27:23.69]	  Vous oublierez le mal que vous avez fait ici.

[01:27:26.79]	  - Jamais.

[01:27:29.06]	

[01:27:31.56]	 - Ne comptez plus sur moi pour vous servir.

[01:27:35.86]	  J'espè re que vous ne connaî trez plus jamais la paix, excellence.

[01:27:36.86]	  

[01:27:37.86]	

[01:27:42.36]	  

[01:27:54.83]	 - Nous ne rentrerons pas.

[01:27:58.86]	  Aprè s la passation du pouvoir, nous resterons.

[01:28:00.36]	  

[01:28:01.33]	  - Absolument, oui.

[01:28:04.73]	  Nous ferons le maximum pour les aider.

[01:28:07.13]	  Cette tragédie n'est pas de votre fait.

[01:28:09.53]	  

[01:28:09.93]	

[01:28:13.13]	  

[01:28:14.83]	 (musique triste)

[01:28:17.93]	

[01:28:20.13]	  

[01:28:21.46]	 (conversation indistincte)

[01:28:24.56]	

[01:28:26.56]	  

[01:28:42.19]	 (cris de joie)

[01:28:45.29]	

[01:28:47.19]	  

[01:29:08.46]	 -  La porte de la liberté    s'ouvre en Inde.

[01:29:12.49]	    Des milliers d'hindous   envahissent

[01:29:15.36]	    les rues de New Delhi,    attendant l'heure

[01:29:16.43]	    de leur libération.

[01:29:19.79]	    AÀ  Karachi, capitale du nouvel   EÉ tat musulman, le Pakistan,

[01:29:21.83]	    lord Louis Mountbatten,   dernier vice-roi des Indes

[01:29:25.46]	    assiste à  la fin officielle   de la domination britannique.

[01:29:28.13]	  (cris de joie)

[01:29:30.76]	

[01:29:32.76]	  

[01:29:37.26]	 - Ravi que vous soyez avec nous pour célébrer notre nation.

[01:29:41.09]	  Le rê ve impossible devient réalité.

[01:29:44.73]	  - Ce n'est pas moi qui devrais ê tre ici avec vous.

[01:29:45.99]	  CÇ a devrait ê tre Churchill.

[01:29:49.53]	  Il est la sage-femme qui vous a aidé

[01:29:50.79]	  à  faire naî tre votre Pakistan.

[01:29:53.86]	  - J'ai fait ce que tout dirigeant aurait fait

[01:29:55.49]	  pour que le rê ve de son peuple s'accomplisse.

[01:29:58.19]	  La vérité, c'est que vous et moi avons été utilisés.

[01:30:00.66]	  - Et vous avez obtenu ce que vous vouliez.

[01:30:04.09]	  - Je n'ai que la moitié du pays que je voulais.

[01:30:04.76]	

[01:30:07.26]	 Nous craindrons toujours pour notre existence.

[01:30:09.13]	  

[01:30:10.36]	

[01:30:12.26]	 Les Britanniques quant à  eux ont obtenu

[01:30:14.13]	  

[01:30:16.09]	  ce qu'ils voulaient depuis le début.

[01:30:18.16]	  C'est vous les vainqueurs dans cette histoire.

[01:30:20.03]	  - Prédire l'avenir est un jeu dangereux, monsieur Jinnah.

[01:30:21.93]	  

[01:30:23.76]	  J'ai bien peur qu'il n'y ait pas de vainqueur ici.

[01:30:26.93]	  - Par ici, s'il vous plaî t, messieurs.

[01:30:30.09]	  -  J'ai ici une lettre   de la part de Harry Truman,

[01:30:30.63]	

[01:30:31.76]	    président   des EÉ tats-Unis d'Amérique.

[01:30:35.79]	    <«  Mes félicitations   au Pakistan

[01:30:36.93]	  

[01:30:39.09]	     pour sa naissance   dans la famille des nations. >» 

[01:30:41.36]	

[01:30:43.33]	 -  Il y a de cela   trois longs siè cles,

[01:30:45.76]	  

[01:30:47.39]	     nous avons donné   rendez-vous au destin.

[01:30:49.89]	    L'heure est venue,   mes chers amis,

[01:30:51.89]	    de tenir enfin notre promesse.

[01:30:54.09]	    Quand sonnera    l'ultime coup de minuit,

[01:30:56.79]	    tandis que le monde dormira,

[01:31:00.26]	    l'Inde s'éveillera à  la vie    et à  la liberté.

[01:31:01.36]	

[01:31:04.36]	 -  Je m'engage à  ce que le Pakistan soit un pays laiï que

[01:31:05.59]	  

[01:31:08.76]	    ouù  tous seront les bienvenus.   Et je puis vous assurer

[01:31:11.99]	    que nous entretiendrons    toujours

[01:31:15.53]	    des relations amicales   avec tous nos voisins.

[01:31:18.13]	  -  Notre tâ che est de bâ tir

[01:31:21.43]	    la noble maison    de l'Inde libre.

[01:31:23.69]	    Mais notre liberté   n'est possible

[01:31:26.73]	    que parce que des millions   d'Indiens ont souffert

[01:31:29.16]	    et fait des sacrifices.

[01:31:32.69]	  C'est à  eux que nous promettons   de construire une Inde libre

[01:31:34.46]	    ouù  tous ses enfants   pourront s'épanouir.

[01:31:37.43]	

[01:31:39.59]	  

[01:31:45.46]	 (cris de joie en sourdine)

[01:31:48.56]	

[01:31:50.56]	  

[01:31:51.79]	 (musique douce) - On réveille Bapuji?

[01:31:54.89]	

[01:31:58.03]	 - Non, laissons-le dormir.

[01:31:58.46]	  

[01:32:01.93]	  Il a dit qu'il n'y avait rien à  fê ter.

[01:32:03.53]	

[01:32:06.53]	  

[01:32:13.66]	 -  Un million de personnes

[01:32:17.89]	    se sont soudainement   retrouvées sur les routes.

[01:32:19.36]	     En portant le peu    qu'ils possè dent,

[01:32:22.26]	    ces gens fuient de terribles   massacres encore jamais vus

[01:32:24.03]	     dans l'histoire houleuse   de l'Inde.

[01:32:26.76]	

[01:32:28.76]	  

[01:32:37.46]	   Deux autres millions   s'apprê tent à  partir.

[01:32:40.56]	

[01:32:43.33]	 (musique triste)

[01:32:44.13]	  

[01:32:46.43]	

[01:32:48.43]	  

[01:32:50.49]	   Beaucoup n'atteindront pas   leur nouveau pays.

[01:32:54.63]	     Le problè me des réfugiés    est considérable.

[01:32:58.06]	     La variole et le choléra    sévissent dans les camps.

[01:33:00.13]	

[01:33:00.53]	 (pleurs)

[01:33:04.26]	  (annonce en langue étrangè re)

[01:33:05.63]	  

[01:33:07.06]	

[01:33:09.06]	  

[01:33:16.83]	 (pleurs)

[01:33:20.19]	  (brouhaha)

[01:33:22.93]	

[01:33:24.93]	  

[01:33:49.36]	 - Il y a de la nourriture pour tous.

[01:33:53.16]	  Soyez patients, s'il vous plaî t.

[01:33:54.83]	  Il y en a pour tout le monde.

[01:33:56.66]	  - EÉ cartez-vous, s'il vous plaî t.

[01:33:57.93]	

[01:34:01.26]	 - Il faut en donner aux enfants.

[01:34:04.49]	  - Les enfants d'abord. (pleurs)

[01:34:05.06]	

[01:34:06.36]	 - Je peux voir?

[01:34:07.63]	  

[01:34:09.46]	

[01:34:10.53]	 Ils n'ont pas assez de nourriture.

[01:34:11.46]	  

[01:34:14.63]	  Veillez à  ce que les rations soient distribuées.

[01:34:15.79]	  (langue étrangè re)

[01:34:16.93]	

[01:34:18.93]	  

[01:34:24.29]	 (brouhaha)

[01:34:27.39]	

[01:34:28.86]	  

[01:34:34.93]	 - Aidez-nous! - Mes frè res, je suis désolé.

[01:34:38.29]	  - Nehruji!

[01:34:39.89]	

[01:34:41.46]	 Pourquoi je n'ai plus ma famille?

[01:34:42.36]	  

[01:34:45.39]	  Je veux que vous me rendiez ma famille!

[01:34:46.26]	

[01:34:47.26]	 - Pardonnez-moi. Pardonnez-moi.

[01:34:48.53]	  

[01:34:50.36]	

[01:34:54.56]	  

[01:35:12.96]	 - Papa. Papa.

[01:35:16.46]	  Ressaisissez-vous.

[01:35:19.59]	  Vous ne pouvez pas faiblir.

[01:35:21.69]	  Surtout en public.

[01:35:23.36]	

[01:35:25.13]	  

[01:35:27.03]	 (brouhaha)

[01:35:30.13]	

[01:35:32.36]	  

[01:35:36.86]	 - Aidez ces gens à  descendre.

[01:35:40.89]	  - Ma fille. Ma fille, elle est trè s malade.

[01:35:42.13]	  

[01:35:43.63]	  - Cette femme est trè s affaiblie, elle a faim.

[01:35:46.03]	  Jeet! Apportez une civiè re.

[01:35:47.36]	

[01:35:49.26]	  

[01:35:57.83]	 (annonce indistincte)

[01:36:00.93]	

[01:36:02.93]	  

[01:36:20.49]	 - Nom de famille? - Excusez-moi, excusez-moi.

[01:36:24.69]	  Ma fille est trè s malade. - Quel est votre nom, madame?

[01:36:27.03]	  - Bibi Jind Kaur Bedi,

[01:36:29.59]	  district Jhelum.

[01:36:33.63]	  - Celui de votre fille? - J'avais une petite comme elle.

[01:36:36.09]	  Des hommes me l'ont enlevée.

[01:36:39.26]	  J'ai trouvé cette fille

[01:36:41.79]	  sur la voie ferrée tout à  l'heure.

[01:36:43.06]	  Son pè re l'a poussée du train

[01:36:45.63]	  juste avant que tout le monde se fasse tuer.

[01:36:47.59]	  - Elle est musulmane, elle doit aller dans l'autre camp.

[01:36:49.13]	  - Non, c'est ma fille maintenant.

[01:36:51.33]	  - Ce sont les rè gles, vous devez les respecter.

[01:36:53.13]	  - On souffre tous, elle, moi, vous.

[01:36:55.03]	  Essayez de comprendre.

[01:36:56.63]	  - C'est impossible.

[01:36:58.56]	  - S'il vous plaî t, s'il vous plaî t!

[01:37:00.03]	  Essayez de comprendre. C'est ma fille!

[01:37:00.59]	

[01:37:01.46]	 (gémissements)

[01:37:04.93]	  - Jeet... Jeet!

[01:37:05.53]	  

[01:37:07.13]	

[01:37:08.16]	 (démarrage)

[01:37:09.06]	  

[01:37:11.26]	

[01:37:13.26]	  

[01:37:18.43]	 - Faites la queue comme tout le monde.

[01:37:22.33]	  - Ma fille est trè s malade, regardez.

[01:37:23.23]	

[01:37:26.56]	  

[01:37:29.03]	 - Jeet!

[01:37:32.53]	    Jeet Kumar!

[01:37:33.99]	    Jeet!

[01:37:35.36]	

[01:37:36.19]	   Jeet!

[01:37:38.03]	  

[01:37:39.69]	  - Arrê tez-vous!

[01:37:41.63]	  Je veux descendre!

[01:37:43.03]	  - Hé! Qu'est-ce que tu fais?

[01:37:43.76]	

[01:37:44.46]	 - Jeet... - Désolé, madame.

[01:37:46.36]	  

[01:37:48.46]	  Rendez-moi ça. Non, non, vous ne pouvez pas.

[01:37:49.53]	  - S'il vous plaî t.

[01:37:50.93]	

[01:37:51.93]	  

[01:37:59.46]	 - Aalia!

[01:38:03.13]	  Aalia Noor! Aalia Noor!

[01:38:03.93]	  

[01:38:06.63]	  - Faites la queue! Faites la queue!

[01:38:08.56]	  - Je vous assure, nous faisons tout en notre pouvoir.

[01:38:10.69]	  - Oui, oui, bien sû r, ça arrive. Chéri?

[01:38:13.63]	  - Quoi? - L'eau arrive.

[01:38:15.39]	  Ils apportent de l'eau, n'est-ce pas?

[01:38:16.96]	  - Ils apportent d'autres bidons, ils arrivent.

[01:38:18.26]	  Pour le moment, je vous demande

[01:38:19.49]	  de rester groupés par famille.

[01:38:21.56]	

[01:38:23.66]	 - Aalia!

[01:38:23.79]	  

[01:38:26.76]	

[01:38:28.56]	  

[01:38:29.26]	 Aalia!

[01:38:32.59]	  - Jeet!

[01:38:34.76]	  - Aalia! - Jeet!

[01:38:36.63]	  Jeet!

[01:38:39.13]	  Jeet!

[01:38:41.89]	

[01:38:43.96]	  

[01:38:53.46]	 (sanglots)

[01:38:56.56]	

[01:38:58.73]	  

[01:39:13.26]	 (musique douce)

[01:39:16.36]	

[01:39:18.96]	  

[01:40:37.69]	 (musique douce)

[01:40:40.79]	

[01:40:42.79]	  


