Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 
[01:27:22:20]	  Vous oublierez le mal que vous avez fait ici.

[01:27:26:14]	  - Jamais.

[01:27:28:29]	

[01:27:30:21]	 - Ne comptez plus sur moi pour vous servir.

[01:27:34:16]	  J'espè re que vous ne connaî trez plus jamais la paix, excellence.

[01:27:36:25]	  

[01:27:37:23]	

[01:27:42:10]	  

[01:27:54:10]	 - Nous ne rentrerons pas.

[01:27:57:25]	  Aprè s la passation du pouvoir, nous resterons.

[01:28:00:10]	  

[01:28:00:25]	  - Absolument, oui.

[01:28:03:25]	  Nous ferons le maximum pour les aider.

[01:28:06:08]	  Cette tragédie n'est pas de votre fait.

[01:28:09:15]	  

[01:28:09:25]	

[01:28:13:03]	  

[01:28:14:15]	 (musique triste)

[01:28:17:25]	

[01:28:20:03]	  

[01:28:20:28]	 (conversation indistincte)

[01:28:24:14]	

[01:28:26:16]	  

[01:28:41:26]	 (cris de joie)

[01:28:45:06]	

[01:28:47:05]	  

[01:29:07:15]	 -  La porte de la liberté    s'ouvre en Inde.

[01:29:11:14]	    Des milliers d'hindous   envahissent

[01:29:14:08]	    les rues de New Delhi,    attendant l'heure

[01:29:15:24]	    de leur libération.

[01:29:18:09]	    AÀ  Karachi, capitale du nouvel   EÉ tat musulman, le Pakistan,

[01:29:20:16]	    lord Louis Mountbatten,   dernier vice-roi des Indes

[01:29:24:01]	    assiste à  la fin officielle   de la domination britannique.

[01:29:27:21]	  (cris de joie)

[01:29:30:20]	

[01:29:32:22]	  

[01:29:36:03]	 - Ravi que vous soyez avec nous pour célébrer notre nation.

[01:29:40:08]	  Le rê ve impossible devient réalité.

[01:29:43:19]	  - Ce n'est pas moi qui devrais ê tre ici avec vous.

[01:29:45:09]	  CÇ a devrait ê tre Churchill.

[01:29:48:20]	  Il est la sage-femme qui vous a aidé

[01:29:50:01]	  à  faire naî tre votre Pakistan.

[01:29:52:26]	  - J'ai fait ce que tout dirigeant aurait fait

[01:29:54:14]	  pour que le rê ve de son peuple s'accomplisse.

[01:29:57:03]	  La vérité, c'est que vous et moi avons été utilisés.

[01:29:59:21]	  - Et vous avez obtenu ce que vous vouliez.

[01:30:03:01]	  - Je n'ai que la moitié du pays que je voulais.

[01:30:04:20]	

[01:30:06:11]	 Nous craindrons toujours pour notre existence.

[01:30:09:03]	  

[01:30:10:08]	

[01:30:11:14]	 Les Britanniques quant à  eux ont obtenu

[01:30:14:03]	  

[01:30:15:08]	  ce qu'ils voulaient depuis le début.

[01:30:17:05]	  C'est vous les vainqueurs dans cette histoire.

[01:30:18:25]	  - Prédire l'avenir est un jeu dangereux, monsieur Jinnah.

[01:30:21:27]	  

[01:30:22:20]	  J'ai bien peur qu'il n'y ait pas de vainqueur ici.

[01:30:26:01]	  - Par ici, s'il vous plaî t, messieurs.

[01:30:28:24]	  -  J'ai ici une lettre   de la part de Harry Truman,

[01:30:30:16]	

[01:30:30:23]	    président   des EÉ tats-Unis d'Amérique.

[01:30:34:23]	    <«  Mes félicitations   au Pakistan

[01:30:36:27]	  

[01:30:37:25]	     pour sa naissance   dans la famille des nations. >» 

[01:30:41:08]	

[01:30:42:11]	 -  Il y a de cela   trois longs siè cles,

[01:30:45:22]	  

[01:30:46:10]	     nous avons donné   rendez-vous au destin.

[01:30:48:26]	    L'heure est venue,   mes chers amis,

[01:30:51:03]	    de tenir enfin notre promesse.

[01:30:53:01]	    Quand sonnera    l'ultime coup de minuit,

[01:30:56:01]	    tandis que le monde dormira,

[01:30:59:01]	    l'Inde s'éveillera à  la vie    et à  la liberté.

[01:31:01:08]	

[01:31:03:05]	 -  Je m'engage à  ce que le Pakistan soit un pays laiï que

[01:31:05:17]	  

[01:31:07:11]	    ouù  tous seront les bienvenus.   Et je puis vous assurer

[01:31:11:01]	    que nous entretiendrons    toujours

[01:31:14:10]	    des relations amicales   avec tous nos voisins.

[01:31:17:11]	  -  Notre tâ che est de bâ tir

[01:31:20:14]	    la noble maison    de l'Inde libre.

[01:31:22:21]	    Mais notre liberté   n'est possible

[01:31:25:14]	    que parce que des millions   d'Indiens ont souffert

[01:31:28:14]	    et fait des sacrifices.

[01:31:31:11]	  C'est à  eux que nous promettons   de construire une Inde libre

[01:31:33:09]	    ouù  tous ses enfants   pourront s'épanouir.

[01:31:37:10]	

[01:31:39:17]	  

[01:31:44:28]	 (cris de joie en sourdine)

[01:31:48:14]	

[01:31:50:16]	  

[01:31:51:00]	 (musique douce) - On réveille Bapuji?

[01:31:54:24]	

[01:31:57:15]	 - Non, laissons-le dormir.

[01:31:58:13]	  

[01:32:01:01]	  Il a dit qu'il n'y avait rien à  fê ter.

[01:32:03:13]	

[01:32:06:15]	  

[01:32:13:02]	 -  Un million de personnes

[01:32:16:20]	    se sont soudainement   retrouvées sur les routes.

[01:32:18:10]	     En portant le peu    qu'ils possè dent,

[01:32:20:26]	    ces gens fuient de terribles   massacres encore jamais vus

[01:32:23:01]	     dans l'histoire houleuse   de l'Inde.

[01:32:26:20]	

[01:32:28:22]	  

[01:32:36:11]	   Deux autres millions   s'apprê tent à  partir.

[01:32:40:14]	

[01:32:43:00]	 (musique triste)

[01:32:44:03]	  

[01:32:46:10]	

[01:32:48:12]	  

[01:32:49:12]	   Beaucoup n'atteindront pas   leur nouveau pays.

[01:32:53:15]	     Le problè me des réfugiés    est considérable.

[01:32:56:25]	     La variole et le choléra    sévissent dans les camps.

[01:33:00:01]	

[01:33:00:10]	 (pleurs)

[01:33:03:16]	  (annonce en langue étrangè re)

[01:33:05:18]	  

[01:33:06:29]	

[01:33:09:01]	  

[01:33:16:19]	 (pleurs)

[01:33:19:25]	  (brouhaha)

[01:33:22:25]	

[01:33:24:27]	  

[01:33:48:19]	 - Il y a de la nourriture pour tous.

[01:33:52:11]	  Soyez patients, s'il vous plaî t.

[01:33:54:04]	  Il y en a pour tout le monde.

[01:33:55:25]	  - EÉ cartez-vous, s'il vous plaî t.

[01:33:57:25]	

[01:34:00:16]	 - Il faut en donner aux enfants.

[01:34:03:23]	  - Les enfants d'abord. (pleurs)

[01:34:04:29]	

[01:34:06:00]	 - Je peux voir?

[01:34:07:18]	  

[01:34:09:11]	

[01:34:09:24]	 Ils n'ont pas assez de nourriture.

[01:34:11:13]	  

[01:34:13:16]	  Veillez à  ce que les rations soient distribuées.

[01:34:15:08]	  (langue étrangè re)

[01:34:16:25]	

[01:34:18:27]	  

[01:34:24:01]	 (brouhaha)

[01:34:27:09]	

[01:34:28:25]	  

[01:34:34:01]	 - Aidez-nous! - Mes frè res, je suis désolé.

[01:34:37:28]	  - Nehruji!

[01:34:39:24]	

[01:34:40:22]	 Pourquoi je n'ai plus ma famille?

[01:34:42:10]	  

[01:34:44:14]	  Je veux que vous me rendiez ma famille!

[01:34:46:05]	

[01:34:46:19]	 - Pardonnez-moi. Pardonnez-moi.

[01:34:48:15]	  

[01:34:50:08]	

[01:34:54:16]	  

[01:35:12:17]	 - Papa. Papa.

[01:35:15:29]	  Ressaisissez-vous.

[01:35:18:28]	  Vous ne pouvez pas faiblir.

[01:35:21:06]	  Surtout en public.

[01:35:23:08]	

[01:35:25:03]	  

[01:35:26:23]	 (brouhaha)

[01:35:30:01]	

[01:35:32:10]	  

[01:35:36:07]	 - Aidez ces gens à  descendre.

[01:35:39:26]	  - Ma fille. Ma fille, elle est trè s malade.

[01:35:42:03]	  

[01:35:42:18]	  - Cette femme est trè s affaiblie, elle a faim.

[01:35:45:08]	  Jeet! Apportez une civiè re.

[01:35:47:08]	

[01:35:49:07]	  

[01:35:57:11]	 (annonce indistincte)

[01:36:00:25]	

[01:36:02:27]	  

[01:36:19:18]	 - Nom de famille? - Excusez-moi, excusez-moi.

[01:36:23:15]	  Ma fille est trè s malade. - Quel est votre nom, madame?

[01:36:26:14]	  - Bibi Jind Kaur Bedi,

[01:36:29:05]	  district Jhelum.

[01:36:32:14]	  - Celui de votre fille? - J'avais une petite comme elle.

[01:36:35:13]	  Des hommes me l'ont enlevée.

[01:36:38:20]	  J'ai trouvé cette fille

[01:36:40:28]	  sur la voie ferrée tout à  l'heure.

[01:36:42:10]	  Son pè re l'a poussée du train

[01:36:44:19]	  juste avant que tout le monde se fasse tuer.

[01:36:46:13]	  - Elle est musulmane, elle doit aller dans l'autre camp.

[01:36:48:09]	  - Non, c'est ma fille maintenant.

[01:36:50:08]	  - Ce sont les rè gles, vous devez les respecter.

[01:36:52:10]	  - On souffre tous, elle, moi, vous.

[01:36:54:14]	  Essayez de comprendre.

[01:36:56:03]	  - C'est impossible.

[01:36:57:21]	  - S'il vous plaî t, s'il vous plaî t!

[01:36:59:04]	  Essayez de comprendre. C'est ma fille!

[01:37:00:15]	

[01:37:01:04]	 (gémissements)

[01:37:04:14]	  - Jeet... Jeet!

[01:37:05:15]	  

[01:37:07:01]	

[01:37:07:26]	 (démarrage)

[01:37:09:01]	  

[01:37:11:05]	

[01:37:13:07]	  

[01:37:17:20]	 - Faites la queue comme tout le monde.

[01:37:21:13]	  - Ma fille est trè s malade, regardez.

[01:37:23:04]	

[01:37:26:16]	  

[01:37:28:24]	 - Jeet!

[01:37:32:01]	    Jeet Kumar!

[01:37:33:18]	    Jeet!

[01:37:35:08]	

[01:37:35:27]	   Jeet!

[01:37:38:00]	  

[01:37:39:06]	  - Arrê tez-vous!

[01:37:41:04]	  Je veux descendre!

[01:37:42:11]	  - Hé! Qu'est-ce que tu fais?

[01:37:43:20]	

[01:37:43:27]	 - Jeet... - Désolé, madame.

[01:37:46:10]	  

[01:37:47:14]	  Rendez-moi ça. Non, non, vous ne pouvez pas.

[01:37:49:00]	  - S'il vous plaî t.

[01:37:50:25]	

[01:37:51:27]	  

[01:37:59:08]	 - Aalia!

[01:38:02:14]	  Aalia Noor! Aalia Noor!

[01:38:03:27]	  

[01:38:05:25]	  - Faites la queue! Faites la queue!

[01:38:07:13]	  - Je vous assure, nous faisons tout en notre pouvoir.

[01:38:09:24]	  - Oui, oui, bien sû r, ça arrive. Chéri?

[01:38:12:29]	  - Quoi? - L'eau arrive.

[01:38:14:15]	  Ils apportent de l'eau, n'est-ce pas?

[01:38:15:28]	  - Ils apportent d'autres bidons, ils arrivent.

[01:38:17:14]	  Pour le moment, je vous demande

[01:38:18:23]	  de rester groupés par famille.

[01:38:21:14]	

[01:38:23:14]	 - Aalia!

[01:38:23:23]	  

[01:38:26:20]	

[01:38:28:16]	  

[01:38:29:02]	 Aalia!

[01:38:32:08]	  - Jeet!

[01:38:34:08]	  - Aalia! - Jeet!

[01:38:36:10]	  Jeet!

[01:38:38:25]	  Jeet!

[01:38:41:24]	

[01:38:43:28]	  

[01:38:53:06]	 (sanglots)

[01:38:56:14]	

[01:38:58:21]	  

[01:39:12:27]	 (musique douce)

[01:39:16:08]	

[01:39:18:28]	  

[01:40:37:10]	 (musique douce)

[01:40:40:21]	

[01:40:42:23]	  


